pop	clust1	clust2	clust3	clust4
halfpounder	0.0656	0.8101	0.0374	0.0869
halfpounder	0.2022	0.3766	0.1174	0.3038
halfpounder	0.0716	0.0394	0.8033	0.0857
halfpounder	0.0691	0.7890	0.0631	0.0787
halfpounder	0.5006	0.1487	0.1527	0.1980
halfpounder	0.0534	0.8264	0.0464	0.0737
halfpounder	0.5657	0.1424	0.0586	0.2333
halfpounder	0.1302	0.1909	0.5516	0.1273
halfpounder	0.6485	0.0384	0.1010	0.2121
halfpounder	0.1871	0.2144	0.1877	0.4107
halfpounder	0.2091	0.4264	0.1059	0.2586
halfpounder	0.1057	0.2958	0.2968	0.3017
halfpounder	0.0592	0.7221	0.1162	0.1026
halfpounder	0.5889	0.0406	0.1239	0.2467
halfpounder	0.2964	0.1361	0.2341	0.3333
halfpounder	0.1989	0.1789	0.1596	0.4627
halfpounder	0.4713	0.1100	0.1291	0.2896
halfpounder	0.1489	0.1643	0.4949	0.1919
halfpounder	0.0606	0.8262	0.0313	0.0819
halfpounder	0.1467	0.5217	0.1649	0.1667
halfpounder	0.1967	0.2051	0.1297	0.4684
halfpounder	0.2907	0.1300	0.1013	0.4781
halfpounder	0.3467	0.0619	0.2590	0.3324
halfpounder	0.0866	0.0589	0.7788	0.0757
halfpounder	0.1341	0.4723	0.1734	0.2203
halfpounder	0.2273	0.0613	0.0943	0.6172
halfpounder	0.1028	0.2473	0.4114	0.2385
halfpounder	0.4527	0.0990	0.1706	0.2777
halfpounder	0.3711	0.0509	0.1029	0.4752
halfpounder	0.4329	0.1812	0.1839	0.2020
halfpounder	0.1875	0.1221	0.2715	0.4189
halfpounder	0.1512	0.0424	0.5484	0.2580
halfpounder	0.1803	0.0594	0.3656	0.3947
halfpounder	0.2419	0.0750	0.1844	0.4987
halfpounder	0.1891	0.4850	0.1707	0.1551
halfpounder	0.1477	0.4539	0.1759	0.2226
halfpounder	0.2501	0.1624	0.4365	0.1511
halfpounder	0.3858	0.0912	0.1736	0.3495
halfpounder	0.2107	0.0594	0.1700	0.5598
halfpounder	0.1562	0.1226	0.1311	0.5901
halfpounder	0.0765	0.1046	0.7189	0.1000
halfpounder	0.1100	0.0410	0.7545	0.0944
halfpounder	0.3465	0.1636	0.0930	0.3969
halfpounder	0.0772	0.7828	0.0580	0.0820
halfpounder	0.3185	0.3706	0.1521	0.1588
halfpounder	0.3223	0.1508	0.2107	0.3163
halfpounder	0.1334	0.0380	0.6464	0.1821
halfpounder	0.1460	0.1584	0.1066	0.5890
halfpounder	0.3321	0.0639	0.0972	0.5069
halfpounder	0.1647	0.0791	0.5640	0.1921
halfpounder	0.1589	0.4695	0.1177	0.2539
halfpounder	0.1533	0.2670	0.3240	0.2556
halfpounder	0.2199	0.0767	0.3697	0.3337
halfpounder	0.0923	0.2671	0.1785	0.4621
halfpounder	0.2656	0.3337	0.1960	0.2047
halfpounder	0.1872	0.1010	0.4035	0.3083
halfpounder	0.1835	0.1869	0.3627	0.2668
halfpounder	0.1633	0.2216	0.4322	0.1830
halfpounder	0.0393	0.8863	0.0374	0.0370
halfpounder	0.2426	0.1365	0.1517	0.4692
halfpounder	0.2645	0.2188	0.2738	0.2429
halfpounder	0.0612	0.7678	0.0977	0.0733
halfpounder	0.2530	0.3561	0.2471	0.1437
halfpounder	0.1669	0.4422	0.2560	0.1349
halfpounder	0.2423	0.1276	0.4585	0.1716
halfpounder	0.3396	0.2110	0.1422	0.3072
halfpounder	0.1159	0.5379	0.1408	0.2053
halfpounder	0.1301	0.1000	0.5154	0.2545
halfpounder	0.4469	0.0968	0.2439	0.2124
halfpounder	0.1218	0.1400	0.1334	0.6048
halfpounder	0.2175	0.1731	0.2958	0.3136
halfpounder	0.2340	0.1470	0.1030	0.5161
